taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Ananas comosus,ITIS:42335,species,ITIS:42335,accepted,2010-12-15,Plantae,NA,Magnoliopsida,Poales,Bromeliaceae,Ananas,comosus,,pineapple
Cylindropuntia ramosissima,ITIS:907710,species,ITIS:907710,accepted,2013-06-12,Plantae,NA,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,ramosissima,,NA
Datura,ITIS:30513,genus,ITIS:30513,accepted,2011-06-29,NA,NA,NA,NA,NA,NA,,,jimsonweed
Lophocereus schottii,ITIS:516112,species,ITIS:504089,synonym,2013-06-12,Plantae,NA,Magnoliopsida,Caryophyllales,Cactaceae,Pachycereus,schottii,,senita cactus
Parthenocissus quinquefolia,ITIS:28602,species,ITIS:28602,accepted,2012-08-29,Plantae,NA,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,quinquefolia,,woodbine
Yucca aloifolia,ITIS:505784,species,ITIS:505784,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Yucca,aloifolia,,aloe yucca
Yucca recurvifolia,ITIS:43148,species,ITIS:810343,synonym,2011-02-24,NA,NA,NA,NA,NA,NA,,,curve leaf yucca
Mentha,ITIS:32264,genus,ITIS:32264,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,mint
Strelitzia nicolai,ITIS:897448,species,ITIS:897448,accepted,2012-09-26,Plantae,NA,Magnoliopsida,Zingiberales,Strelitziaceae,Strelitzia,nicolai,,white bird of paradise tree
Campsis radicans,ITIS:34309,species,ITIS:34309,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Bignoniaceae,Campsis,radicans,,trumpet creeper
Tecoma alata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicotiana glauca,ITIS:30574,species,ITIS:30574,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Solanales,Solanaceae,Nicotiana,glauca,,tree tobacco
Yucca baccata,ITIS:43134,species,ITIS:43134,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Yucca,baccata,,banana yucca
Citrus,ITIS:28882,genus,ITIS:28882,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,citrus
Jasminum sambac,ITIS:32970,species,ITIS:32970,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Oleaceae,Jasminum,sambac,,Arabian jasmine
Monstera deliciosa,ITIS:503872,species,ITIS:503872,accepted,2011-03-22,Plantae,NA,Magnoliopsida,Alismatales,Araceae,Monstera,deliciosa,,tarovine
Pinus,ITIS:18035,genus,ITIS:18035,accepted,2011-07-25,NA,NA,NA,NA,NA,NA,,,pine
Zantedeschia aethiopica,ITIS:42555,species,ITIS:42555,accepted,2011-03-22,Plantae,NA,Magnoliopsida,Alismatales,Araceae,Zantedeschia,aethiopica,,calla lily
Parkinsonia florida,ITIS:26827,species,ITIS:26827,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,florida,,blue paloverde
Grevillea robusta,ITIS:27783,species,ITIS:27783,accepted,2012-05-31,Plantae,NA,Magnoliopsida,Proteales,Proteaceae,Grevillea,robusta,,silver oak
Parkinsonia microphylla,ITIS:26828,species,ITIS:26828,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,microphylla,,yellow paloverde
Tradescantia pallida,ITIS:505552,species,ITIS:505552,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,pallida,,purple queen
Acacia stenophylla,ITIS:820117,species,ITIS:820117,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Acacia,stenophylla,,river myall
Acacia salicina,ITIS:820093,species,ITIS:820093,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Acacia,salicina,,willow acacia
Plumeria,ITIS:30197,genus,ITIS:30197,accepted,2012-05-31,NA,NA,NA,NA,NA,NA,,,NA
Brachychiton populneus,ITIS:1132786,species,ITIS:1132786,accepted,2020-08-28,Plantae,NA,Magnoliopsida,Malvales,Malvaceae,Brachychiton,populneus,,NA
Dalbergia sissoo,ITIS:26596,species,ITIS:26596,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Dalbergia,sissoo,,Indian rosewood
Olneya tesota,ITIS:26808,species,ITIS:26808,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Olneya,tesota,,desert ironwood
Parkinsonia aculeata,ITIS:26826,species,ITIS:26826,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,aculeata,,Jerusalem thorn
